"",,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"District","District Code","Count","%","Count","%","Count","%","Count","%","Count","%"
"Achievement First Hartford Academy Inc. District","=""2880013""",288,38.2,392,48.1,256,29.9,271,29.4,243,23.8
"Amistad Academy District","=""2790013""",200,23.7,329,36.6,335,36.2,311,31.9,285,27.9
"Andover School District","=""0010011""","*","*","*","*","*","*","*","*","*","*"
"Ansonia School District","=""0020011""",240,9.3,223,9.1,195,8.3,176,7.1,199,8.2
"Area Cooperative Educational Services","=""2440014""",302,15.2,282,14.3,272,13.6,260,13.0,256,12.8
"Ashford School District","=""0030011""",12,2.5,17,3.9,10,2.3,20,4.8,14,3.5
"Avon School District","=""0040011""",63,1.8,78,2.3,70,2.1,58,1.7,60,1.8
"Barkhamsted School District","=""0050011""","*","*","*","*","*","*","*","*","N/A","N/A"
"Berlin School District","=""0070011""",164,5.4,110,3.7,106,3.6,99,3.4,90,3.1
"Bethany School District","=""0080011""","*","*","*","*","*","*","*","*","*","*"
"Bethel School District","=""0090011""",196,6.5,215,7.2,202,6.7,216,7.2,205,6.8
"Bloomfield School District","=""0110011""",280,13.0,264,12.5,290,13.8,233,11.0,276,13.1
"Bolton School District","=""0120011""",24,2.7,27,3.0,26,3.0,40,4.7,35,4.3
"Booker T. Washington Academy District","=""2950013""","N/A","N/A","N/A","N/A","N/A","N/A",13,14.1,23,12.9
"Bozrah School District","=""0130011""","*","*",6,2.4,7,2.8,"*","*","*","*"
"Branford School District","=""0140011""",201,6.0,157,4.8,198,6.0,159,5.1,180,5.8
"Brass City Charter School District","=""2900013""","N/A","N/A","N/A","N/A","N/A","N/A",7,4.7,8,4.3
"Bridgeport Achievement First District","=""2850013""",169,31.9,128,18.7,243,29.6,301,31.2,235,23.6
"Bridgeport School District","=""0150011""",3787,18.3,3456,16.7,3381,15.9,3343,15.8,3327,15.4
"Bristol School District","=""0170011""",720,8.5,711,8.5,732,8.8,698,8.4,686,8.3
"Brookfield School District","=""0180011""",90,3.2,78,2.8,72,2.6,86,3.1,84,3.1
"Brooklyn School District","=""0190011""",68,7.3,46,4.8,48,5.2,36,3.9,59,6.5
"Canaan School District","=""0210011""","N/A","N/A","*","*","*","*","N/A","N/A","*","*"
"Canterbury School District","=""0220011""",25,4.8,19,3.8,20,4.2,14,2.9,11,2.2
"Canton School District","=""0230011""",49,2.8,32,1.8,19,1.1,22,1.3,42,2.6
"Capital Preparatory Harbor School Inc. District","=""2970013""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",50,23.3
"Capitol Region Education Council","=""2410014""",312,5.7,541,8.8,622,8.8,653,8.2,828,10.1
"Chaplin School District","=""0240011""","*","*","*","*","*","*","N/A","N/A","*","*"
"Cheshire School District","=""0250011""",131,2.7,124,2.6,121,2.6,142,3.1,144,3.2
"Chester School District","=""0260011""","*","*","*","*","*","*","*","*","N/A","N/A"
"Clinton School District","=""0270011""",123,6.1,111,5.6,103,5.2,81,4.3,61,3.3
"Colchester School District","=""0280011""",131,4.3,121,4.2,117,4.2,115,4.3,102,3.9
"Colebrook School District","=""0290011""","N/A","N/A","*","*","*","*","*","*","*","*"
"Columbia School District","=""0300011""",15,2.8,"*","*","*","*",23,5.0,11,2.4
"Common Ground High School District","=""2680013""",19,11.9,6,3.6,16,9.1,15,8.7,13,7.4
"Connecticut Technical High School System","=""9000016""",2724,25.8,2078,19.8,1716,16.2,1658,15.6,1537,14.6
"Cooperative Educational Services","=""2430014""",61,7.2,50,5.8,39,4.6,60,6.8,50,5.6
"Cornwall School District","=""0310011""","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Coventry School District","=""0320011""",104,5.8,78,4.5,76,4.4,59,3.6,46,2.8
"Cromwell School District","=""0330011""",187,9.2,145,7.3,140,7.0,138,6.9,130,6.5
"Danbury School District","=""0340011""",1084,9.9,1114,10.1,931,8.5,1104,9.9,819,7.2
"Darien School District","=""0350011""",51,1.0,36,0.7,68,1.4,50,1.0,35,0.7
"Deep River School District","=""0360011""","*","*","*","*","*","*","*","*",9,2.9
"Department of Mental Health and Addiction Services","=""3370015""","N/A","*","N/A","*","N/A","*","N/A","*","N/A","*"
"Derby School District","=""0370011""",127,8.5,163,10.6,185,12.0,190,12.8,151,10.8
"East Granby School District","=""0400011""",25,2.9,29,3.3,32,3.7,37,4.2,58,6.6
"East Haddam School District","=""0410011""",48,3.7,"N/A","N/A","N/A","N/A",28,2.4,23,2.1
"East Hampton School District","=""0420011""",75,3.8,57,3.0,71,3.8,45,2.4,62,3.3
"East Hartford School District","=""0430011""",1586,21.9,1272,17.7,1228,17.0,1133,15.9,874,12.5
"East Haven School District","=""0440011""",378,11.3,273,8.5,230,7.3,187,6.1,246,8.0
"East Lyme School District","=""0450011""",112,3.7,89,3.0,80,2.8,96,3.4,87,3.1
"East Windsor School District","=""0470011""",167,12.7,138,10.9,133,11.0,93,8.2,84,7.6
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",28,8.8,35,10.2,"N/A","N/A",61,15.6,56,13.4
"Eastford School District","=""0390011""",6,3.4,"*","*",7,4.6,"*","*","*","*"
"Easton School District","=""0460011""",13,1.2,"*","*",21,2.2,9,1.0,12,1.3
"Education Connection","=""2420014""","N/A","N/A",7,5.8,18,16.7,19,7.6,15,7.7
"Ellington School District","=""0480011""",152,5.5,128,4.6,120,4.5,114,4.2,139,5.2
"Elm City College Preparatory School District","=""2890013""",174,29.2,159,26.9,176,28.2,92,14.8,127,18.3
"Elm City Montessori School District","=""2910013""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Enfield School District","=""0490011""",548,9.6,529,9.7,454,8.6,422,8.1,423,8.0
"Essex School District","=""0500011""","N/A","N/A",7,1.3,6,1.2,"*","*","N/A","N/A"
"Explorations District","=""2720013""",13,19.1,19,23.2,23,28.4,13,15.3,18,20.7
"Fairfield School District","=""0510011""",251,2.4,234,2.3,206,2.0,165,1.6,208,2.0
"Farmington School District","=""0520011""",80,1.9,71,1.7,79,1.9,59,1.5,59,1.4
"Franklin School District","=""0530011""","*","*","*","*",8,4.3,7,3.9,9,5.3
"Glastonbury School District","=""0540011""",133,2.0,114,1.7,128,2.0,100,1.6,68,1.1
"Granby School District","=""0560011""",49,2.3,40,1.9,48,2.3,53,2.7,64,3.2
"Great Oaks Charter School District","=""2940013""","N/A","N/A","N/A","N/A","N/A","N/A",55,45.1,73,33.5
"Greenwich School District","=""0570011""",201,2.3,165,1.9,111,1.3,121,1.4,98,1.1
"Griswold School District","=""0580011""",244,12.0,177,8.8,165,8.3,142,7.3,117,6.2
"Groton School District","=""0590011""",419,8.4,367,7.8,317,6.8,382,8.4,337,7.5
"Guilford School District","=""0600011""",109,2.9,95,2.6,83,2.3,77,2.2,79,2.3
"Hamden School District","=""0620011""",657,11.0,630,10.6,571,9.7,462,8.1,457,8.1
"Hampton School District","=""0630011""","*","*","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Hartford School District","=""0640011""",3797,17.7,3781,17.2,3785,17.3,3541,16.2,3082,14.3
"Hartland School District","=""0650011""","*","*","*","*","*","*","N/A","N/A","*","*"
"Hebron School District","=""0670011""","*","*","*","*","*","*","*","*",9,1.2
"Highville Charter School District","=""2860013""",11,3.3,7,2.1,25,7.1,26,6.7,95,21.3
"Integrated Day Charter School District","=""2640013""",16,4.9,7,2.2,20,6.1,"*","*",12,3.6
"Interdistrict School for Arts and Comm District","=""2650013""",55,29.9,32,17.2,34,14.7,51,19.8,33,12.5
"Jumoke Academy District","=""2610013""",19,3.9,42,7.2,64,9.2,87,12.0,78,10.7
"Kent School District","=""0680011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Killingly School District","=""0690011""",196,7.2,291,10.6,249,9.4,224,8.6,175,6.7
"Learn","=""2450014""",85,5.7,115,6.7,107,5.1,98,4.4,142,6.0
"Lebanon School District","=""0710011""",68,5.2,48,3.8,14,1.2,35,3.2,25,2.3
"Ledyard School District","=""0720011""",129,4.9,110,4.2,115,4.5,141,5.6,114,4.7
"Lisbon School District","=""0730011""",19,3.9,15,3.2,"*","*",6,1.5,10,2.5
"Litchfield School District","=""0740011""",66,5.9,51,4.9,44,4.4,48,4.8,48,4.9
"Madison School District","=""0760011""",78,2.2,86,2.5,43,1.3,54,1.7,54,1.8
"Manchester School District","=""0770011""",665,10.4,629,10.0,629,9.9,538,8.5,565,8.9
"Mansfield School District","=""0780011""",19,1.4,20,1.5,22,1.7,26,2.1,33,2.6
"Marlborough School District","=""0790011""","*","*",9,1.4,6,1.0,"*","*","*","*"
"Meriden School District","=""0800011""",1366,16.4,1108,13.4,876,10.7,802,9.9,616,7.7
"Middletown School District","=""0830011""",391,7.7,412,8.3,335,6.9,383,7.9,383,8.1
"Milford School District","=""0840011""",397,5.8,377,5.6,332,5.1,338,5.3,404,6.6
"Monroe School District","=""0850011""",60,1.7,55,1.6,48,1.4,46,1.4,63,2.0
"Montville School District","=""0860011""",276,10.7,141,5.7,115,4.7,102,4.3,107,4.7
"Naugatuck School District","=""0880011""",484,10.6,375,8.3,376,8.6,349,8.0,336,7.8
"New Beginnings Inc., Family Academy District","=""2800013""",51,14.7,89,22.7,87,22.1,56,12.3,73,15.2
"New Britain School District","=""0890011""",1875,18.1,1936,18.8,2009,19.7,1523,14.8,1394,13.6
"New Canaan School District","=""0900011""",43,1.0,"N/A","N/A",27,0.6,20,0.5,27,0.6
"New Fairfield School District","=""0910011""",122,4.2,113,4.0,89,3.2,86,3.3,66,2.6
"New Hartford School District","=""0920011""","*","*","*","*",7,1.3,7,1.4,"*","*"
"New Haven School District","=""0930011""",2223,10.7,1671,7.8,1615,7.5,1921,8.8,1792,8.2
"New London School District","=""0950011""",563,18.7,646,20.6,617,19.5,638,19.6,528,15.3
"New Milford School District","=""0960011""",228,4.9,273,5.9,249,5.5,232,5.3,219,5.1
"Newington School District","=""0940011""",286,6.5,257,5.9,275,6.4,208,5.0,193,4.7
"Newtown School District","=""0970011""",114,2.2,118,2.3,102,2.1,119,2.5,118,2.6
"Norfolk School District","=""0980011""","N/A","N/A","N/A","N/A","N/A","N/A",9,7.7,"*","*"
"North Branford School District","=""0990011""",148,6.8,154,7.3,114,5.6,131,6.6,101,5.4
"North Canaan School District","=""1000011""","*","*",6,1.9,8,2.7,"*","*","N/A","N/A"
"North Haven School District","=""1010011""",99,2.7,143,4.1,102,3.0,111,3.3,96,3.0
"North Stonington School District","=""1020011""",55,7.1,30,3.8,32,4.2,33,4.4,31,4.2
"Norwalk School District","=""1030011""",1003,8.9,921,8.2,704,6.2,617,5.4,659,5.7
"Norwich Free Academy District","=""9010022""",339,14.7,391,17.3,315,13.5,280,12.2,268,11.8
"Norwich School District","=""1040011""",414,10.4,354,9.1,286,7.5,254,6.7,282,7.5
"Odyssey Community School District","=""2630013""",14,4.6,10,3.1,19,6.0,17,5.3,12,3.7
"Old Saybrook School District","=""1060011""",44,2.8,64,4.2,34,2.3,47,3.3,35,2.5
"Orange School District","=""1070011""",6,0.5,8,0.6,16,1.3,12,1.0,10,0.8
"Oxford School District","=""1080011""",58,2.7,47,2.2,43,2.1,37,1.9,36,1.8
"Park City Prep Charter School District","=""2830013""",58,23.3,35,14.3,38,14.8,57,16.1,62,17.5
"Path Academy District","=""2930013""","N/A","N/A","N/A","N/A","N/A","N/A",53,41.4,20,14.9
"Plainfield School District","=""1090011""",274,10.6,244,9.8,174,7.1,197,8.4,215,9.1
"Plainville School District","=""1100011""",121,5.0,111,4.7,89,3.8,114,4.7,131,5.4
"Plymouth School District","=""1110011""",76,4.5,78,4.7,59,3.7,64,4.1,82,5.4
"Pomfret School District","=""1120011""",6,1.2,8,1.7,6,1.4,9,2.1,19,4.7
"Portland School District","=""1130011""",52,3.7,57,4.1,52,3.8,61,4.5,50,3.7
"Preston School District","=""1140011""",9,2.2,14,3.3,12,2.8,10,2.2,11,2.5
"Putnam School District","=""1160011""",122,9.4,115,8.8,89,7.0,74,5.9,78,6.4
"Redding School District","=""1170011""",26,2.1,29,2.6,26,2.4,11,1.1,15,1.6
"Regional School District 01","=""2010012""",37,8.0,48,11.4,35,8.2,60,14.8,49,10.9
"Regional School District 04","=""2040012""",59,6.1,53,5.4,40,4.1,26,2.6,28,3.0
"Regional School District 05","=""2050012""",134,5.5,73,3.1,80,3.4,53,2.3,78,3.4
"Regional School District 06","=""2060012""",77,7.4,61,6.0,64,6.4,50,5.2,60,6.1
"Regional School District 07","=""2070012""",70,6.1,50,4.4,75,6.6,70,6.6,53,4.8
"Regional School District 08","=""2080012""",147,8.3,128,7.2,113,6.6,90,5.5,72,4.5
"Regional School District 09","=""2090012""",23,2.3,12,1.2,15,1.4,16,1.5,30,2.9
"Regional School District 10","=""2100012""",110,4.0,99,3.7,88,3.4,76,3.0,51,2.1
"Regional School District 11","=""2110012""",44,14.2,38,12.9,35,11.8,31,11.0,26,10.4
"Regional School District 12","=""2120012""",49,5.5,32,3.7,39,4.8,38,5.0,37,5.1
"Regional School District 13","=""2130012""",38,1.9,39,2.0,29,1.5,46,2.5,38,2.1
"Regional School District 14","=""2140012""",70,3.5,57,2.9,39,2.0,25,1.4,42,2.4
"Regional School District 15","=""2150012""",144,3.4,109,2.7,104,2.6,112,2.9,121,3.2
"Regional School District 16","=""2160012""",105,4.2,96,3.9,90,3.8,92,3.9,102,4.5
"Regional School District 17","=""2170012""",108,4.5,91,3.9,86,3.8,77,3.5,74,3.4
"Regional School District 18","=""2180012""",38,2.6,16,1.1,28,2.0,26,1.9,29,2.2
"Regional School District 19","=""2190012""",76,6.2,78,6.4,73,6.1,59,5.0,61,5.1
"Ridgefield School District","=""1180011""",99,1.8,66,1.2,63,1.2,53,1.0,67,1.3
"Rocky Hill School District","=""1190011""",120,4.7,70,2.8,46,1.9,67,2.7,44,1.7
"Salem School District","=""1210011""",13,2.9,"*","*",9,2.1,9,2.2,7,1.9
"Salisbury School District","=""1220011""",11,3.5,9,2.9,"*","*","*","*",9,3.3
"Scotland School District","=""1230011""",6,4.3,"*","*",9,6.6,8,6.2,"*","*"
"Seymour School District","=""1240011""",172,7.4,183,7.9,216,9.3,226,9.8,157,7.0
"Sharon School District","=""1250011""","*","*","*","*","*","*",6,3.3,"N/A","N/A"
"Shelton School District","=""1260011""",336,6.4,304,5.9,275,5.5,238,4.8,255,5.2
"Sherman School District","=""1270011""",6,1.5,"*","*","*","*",10,2.8,10,3.0
"Side By Side Charter School District","=""2700013""",8,3.6,11,4.8,13,5.6,7,3.0,10,4.4
"Simsbury School District","=""1280011""",124,2.6,89,1.9,74,1.7,78,1.8,92,2.2
"Somers School District","=""1290011""",83,5.1,62,3.9,49,3.2,68,4.6,55,3.8
"South Windsor School District","=""1320011""",163,3.7,146,3.4,151,3.5,131,3.1,127,3.0
"Southington School District","=""1310011""",260,3.8,250,3.7,207,3.1,248,3.7,216,3.2
"Sprague School District","=""1330011""",25,6.7,29,7.9,30,7.8,32,8.4,32,8.9
"Stafford School District","=""1340011""",159,8.7,121,7.0,94,5.7,102,6.4,77,4.9
"Stamford Academy District","=""2820013""","*","*",36,23.7,56,42.7,41,30.4,32,21.6
"Stamford Charter School for Excellence District","=""2960013""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""",612,3.9,458,2.9,492,3.1,452,2.8,604,3.7
"Sterling School District","=""1360011""",38,7.2,"N/A","N/A",34,7.1,25,5.3,14,3.1
"Stonington School District","=""1370011""",184,7.6,153,6.4,147,6.3,109,4.8,121,5.5
"Stratford School District","=""1380011""",503,6.9,588,8.0,460,6.3,491,6.9,466,6.7
"Suffield School District","=""1390011""",142,5.6,91,3.7,79,3.2,53,2.2,143,6.0
"The Bridge Academy District","=""2690013""",67,25.1,64,24.0,39,14.6,49,18.5,50,18.4
"The Gilbert School District","=""9020022""",107,20.0,120,24.3,150,27.2,171,30.5,94,16.8
"Thomaston School District","=""1400011""",74,6.9,50,5.0,53,5.6,53,5.8,65,7.2
"Thompson School District","=""1410011""",97,8.0,79,6.7,67,6.3,47,4.5,80,7.7
"Tolland School District","=""1420011""",99,3.3,111,3.9,83,3.0,60,2.2,98,3.8
"Torrington School District","=""1430011""",490,10.8,420,9.4,392,8.9,340,7.8,348,8.1
"Trailblazers Academy District","=""2780013""","*","*",7,4.1,17,11.3,19,13.9,39,30.2
"Trumbull School District","=""1440011""",120,1.7,118,1.7,105,1.5,94,1.4,81,1.2
"Unified School District #1","=""3360015""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Unified School District #2","=""3470015""",72,25.1,73,27.4,90,28.7,81,31.6,71,37.0
"Union School District","=""1450011""","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Vernon School District","=""1460011""",329,9.1,304,8.7,294,8.7,312,9.5,308,9.5
"Voluntown School District","=""1470011""",11,3.4,"*","*","*","*",8,2.5,"*","*"
"Wallingford School District","=""1480011""",409,6.3,386,6.1,332,5.4,306,5.0,237,3.9
"Waterbury School District","=""1510011""",3907,21.3,3693,19.7,3708,19.5,3639,19.0,3551,18.6
"Waterford School District","=""1520011""",172,6.3,137,5.2,151,5.9,162,6.3,141,5.5
"Watertown School District","=""1530011""",257,8.3,244,8.0,245,8.3,164,5.7,184,6.4
"West Hartford School District","=""1550011""",447,4.4,311,3.1,383,3.8,379,3.8,422,4.3
"West Haven School District","=""1560011""",733,11.8,611,10.0,484,8.0,408,6.8,425,7.1
"Westbrook School District","=""1540011""",77,8.4,47,5.3,19,2.3,"*","*",7,0.9
"Weston School District","=""1570011""",34,1.4,51,2.1,38,1.6,25,1.0,51,2.1
"Westport School District","=""1580011""",84,1.5,41,0.7,89,1.5,103,1.8,77,1.3
"Wethersfield School District","=""1590011""",137,3.7,135,3.6,121,3.2,123,3.4,162,4.4
"Willington School District","=""1600011""",17,3.4,14,2.9,18,3.9,13,3.0,8,1.8
"Wilton School District","=""1610011""",53,1.2,45,1.0,41,0.9,70,1.6,44,1.0
"Winchester School District","=""1620011""",26,3.6,38,5.6,15,2.4,18,3.0,11,1.9
"Windham School District","=""1630011""",598,18.3,530,16.4,564,17.4,458,14.2,459,13.8
"Windsor Locks School District","=""1650011""",155,8.8,144,8.2,119,7.0,127,7.6,143,8.7
"Windsor School District","=""1640011""",486,13.6,426,12.4,387,11.6,362,11.2,417,12.8
"Wolcott School District","=""1660011""",154,5.8,114,4.4,127,5.1,106,4.4,109,4.6
"Woodbridge School District","=""1670011""","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""",95,8.6,60,5.7,52,5.0,65,6.4,58,5.6
"Woodstock School District","=""1690011""",16,1.8,19,2.1,15,1.6,11,1.3,15,1.7

